Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,9/06/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5644
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,08:45,09:25 07 Mar,24h 40m,1 stop,No info,12395
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4077
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,6h 25m,1 stop,No info,8610
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,non-stop,No info,10067
IndiGo,18/03/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,4332
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 16 May,8h 40m,1 stop,No info,13941
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,00:45 03 Mar,25h 55m,1 stop,No info,26890
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 13 Jun,12h 30m,1 stop,No info,13377
IndiGo,6/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 07 May,14h 55m,1 stop,No info,6979
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 16 Jun,17h 5m,2 stops,In-flight meal not included,10368
Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 10 May,17h 5m,2 stops,No info,15129
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,09:00 02 Mar,14h 20m,1 stop,No info,31825
Air India,27/03/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,19:15 28 Mar,37h 20m,2 stops,No info,8446
Air India,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 22 May,24h,1 stop,No info,6528
Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,12526
Air India,01/03/2019,Banglore,New Delhi,BLR → AMD → DEL,00:30,23:55,23h 25m,1 stop,1 Long layover,12599
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:50,15:15,6h 25m,1 stop,No info,8714
Jet Airways,9/04/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,15439
Vistara,1/05/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
IndiGo,21/05/2019,Delhi,Cochin,DEL → HYD → COK,11:55,18:10,6h 15m,1 stop,No info,6442
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,9315
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 22 Mar,5h 35m,1 stop,No info,12242
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,6938
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 19 May,18h 10m,1 stop,No info,14388
IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
GoAir,09/03/2019,Banglore,New Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,7631
Air India,21/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,01:20 22 May,15h 20m,2 stops,No info,13033
SpiceJet,27/03/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,4466
Air Asia,15/06/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,4282
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,13587
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,09:20 02 May,24h 55m,1 stop,No info,14388
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,11087
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No info,17267
Air Asia,21/03/2019,Delhi,Cochin,DEL → BLR → COK,16:45,07:10 22 Mar,14h 25m,1 stop,No info,6151
Vistara,01/03/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,21520
Air Asia,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 16 May,12h,1 stop,No info,5192
Air India,24/03/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7795
IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6938
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646
Air India,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15 25 Jun,24h 30m,2 stops,No info,11732
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 02 Apr,12h 15m,1 stop,In-flight meal not included,7064
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,12384
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,9794
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1 stop,No info,6358
SpiceJet,9/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No info,6300
Air India,6/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5201
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,In-flight meal not included,7832
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 13 Jun,25h 20m,1 stop,No info,12692
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 02 May,15h 10m,1 stop,No info,13941
IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,11:55,21:20,9h 25m,2 stops,No info,6494
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 10 May,7h 30m,1 stop,No info,14388
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,8266
IndiGo,18/06/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 19 Jun,2h 35m,non-stop,No info,4804
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No info,10529
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,15554
SpiceJet,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4963
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 22 May,6h 30m,1 stop,No info,7485
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,10678
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,13626
IndiGo,9/05/2019,Delhi,Cochin,DEL → COK,14:25,17:40,3h 15m,non-stop,No info,6015
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6h 30m,1 stop,No info,8307
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:05 16 May,29h 5m,1 stop,No info,14151
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4777
Vistara,27/04/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,5403
Air India,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,8372
Jet Airways,1/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00 02 Jun,21h 35m,2 stops,No info,13292
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,9718
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,14781
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16h 5m,1 stop,No info,6979
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,10368
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 28 Mar,22h 45m,2 stops,No info,12074
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,No info,13364
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 13 Jun,14h 35m,1 stop,No info,12739
Vistara,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,23:25,16h 15m,1 stop,No info,7927
Jet Airways,3/05/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6144
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 16 Mar,15h 20m,1 stop,No info,13555
Jet Airways,18/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678
IndiGo,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,No info,5279
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 10 May,13h 20m,1 stop,In-flight meal not included,10703
SpiceJet,21/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873
Air Asia,27/06/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 28 Jun,2h 30m,non-stop,No info,3807
IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,08:30,11:30,3h,non-stop,No info,6860
Jet Airways,21/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25 22 Mar,22h 5m,2 stops,In-flight meal not included,8273
Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 28 May,23h,2 stops,No info,13381
